,article_content,labels
366,publish octob 6 2014 two isi suicid bomber drive explosiveladen truck kill least 30 kurdish militiamen polic alhassakeh northeastern syria monitor group say two blew base one run kurdish peopl protect ypg unit asayesh kurdish polic citi western boundari syrian observatori human right say,0
239,syria regim raid aleppo kill 16 civilian monitor afp sunday 5 jun 2016 dozen syrian regim strike aleppo kill least 16 civilian sunday monitor said caus huge damag one rebelheld district target barrel bomb crude unguid explos devic hit qaterji neighbourhood afp photograph saw street strewn rubbl resid ran safeti rescuer rush bloodi child ambul syrian observatori human right said nine civilian kill qaterji two other includ child kill mayssar neighbourhood northern citi anoth five civilian kill two district citi outskirt qaterji man stood middl road surround debri shout angrili civilian rebel street two women two children scrambl safeti past mangl iron shutter shop build badli damag barrel bomb afp photograph said rescuer hair cover white dust carri child bloodcov face ambul anoth wound child alreadi lay truce agre russia unit state februari violat nearli continu around aleppo regim rebel group fought control sinc 2012 around 200000 peopl live eastern part aleppo held rebel rout area cut follow fierc fight erupt thursday 300 civilian kill aleppo sinc april rebel pound governmentcontrol neighbourhood rocket artilleri fire regim hit rebel area air raid least 280000 peopl kill million displac sinc syria war start 2011 brutal repress antigovern protest,1
217,32 kill syria daraa aleppo ngo friday 15 aug 2014 print tweet view 458 relat lebanon charg 43 syrian belong terrorist group 2000 syria refuge strand lebanon mountain nun morocco bust jihadist iraq syria recruit network least 22 peopl kill friday car bomb explod front mosqu daraa provinc southern syria syrian observatori human right said among dead blast rebelcontrol town namar woman child britainbas monitor group said northern syria observatori report 10 peopl kill regim helicopt drop explosivepack barrel bomb aleppo citi attack target bab alnairab district old citi southern salahin neighbourhood north aleppo citi observatori said jihadist islam state group extend advanc seiz baghaydin villag near border turkey wednesday fighter captur eight villag area aleppo border rival rebel group advanc came clash kill least 40 fighter rebel group well 12 fighter accord observatori success open way move toward two strateg prize aazaz marea marea stronghold islam front coalit islamist group among fight aazaz sit next border cross turkey would valuabl asset seek expand selfdeclar caliph territori hold syria neighbour iraq emerg alqaeda onetim branch iraq initi fought alongsid syria opposit includ moder rebel alnusra fighter abus harsh brand religion prompt backlash rebel group push mani oppositionheld area earlier year sinc stage comeback bolster weaponri obtain advanc across border iraq one analyst warn friday fate syria westernback opposit northern syria hang quit liter knifeedg advanc northern aleppo regim forc advanc aleppo citi opinion piec publish cnn websit charl lister brook doha centr said syria rebel face existenti threat lister said like move aazaz cut rebel suppli line syria marea could launch attack rebelheld part aleppo citi aleppo divid rebel control east regim control west sinc shortli fight began mid2012 face regim advanc around eastern outskirt citi coupl advanc farther north remain rebel insid aleppo increasingli beleagu fight provinc left civilian live appal condit intern committe red cross said friday icrc said work syria red crescent deliv medic aid part provinc rebel regimeheld territori step aid distribut governor icrc prioriti ever sinc establish perman presenc citi year ago said 170000 peopl kill syria sinc begin conflict march 2011 accord observatori,1
788,21032016 syrian armi kill 30 isil terrorist aleppo northern countrysid syrian armi unit continu monday militari oper isil alnusra front qaeda branch levant terrorist organ across countri destroy weaponri syrian armi unit continu monday militari oper isil alnusra front qaeda branch levant terrorist organ across countri destroy weaponri kill mani member aleppo syrian armi repel fierc attack post kfar saghir villag aleppo northern countrysid kill 30 terrorist accord almanar report sweida syrian armi cooper popular defens group target gather isil terrorist tal asheihib northeastern countrysid suwaida provinc destroy vehicl weaponri hom syrian armi air forc destroy isil terrorist den vehicl equip machinegun carri ammunit vicin palmyra alqaryatain countrysid central hom provinc unit armi continu success combat task direct mahinalqaryateen regain control point 875 near altloul alsud point 9088 901 8936 direct alrmeili mountain point 856 866,0
77,date public 25 august 2016 fifteen civilian among 11 children kill barrel bomb attack bab alnayrab neighbourhood thursday tag syria aleppo children death human right lifeless bodi babi bashar alassad eleven children kill thursday barrel bomb attack carri govern forc rebelheld neighbourhood syria aleppo citi fifteen civilian among 11 children kill barrel bomb attack bab alnayrab neighbourhood south aleppo citi britainbas syrian observatori human right monitor said group also report eight civilian includ two children kill thursday rebel fire governmentheld west citi afp journalist bab alnayrab saw rescu worker civilian dig rubbl collaps build one man carri lifeless bodi babi bigger forearm babi eye close bodi white dust except speckl smear blood elsewher civil defenc worker protect face anoth dead child colleagu scrape away rubbl encas rest child bodi syria regim accus regularli use barrel bomb crude explos devic rebelheld area home civilian parti conflict known use weapon presid bashar alassad govern deni use barrel bomb syria econom powerhous aleppo citi ravag conflict began antigovern protest march 2011 citi roughli divid rebel control east govern control west sinc mid2012 side bombard caus civilian casualti 290000 peopl kill syria sinc conflict began accord observatori read also,1
339,3 oct 2017 least 17 peopl kill mani injur monday suicid bomb target polic station midan neighbourhood damascu capit syria sever suicid bomber believ three deton front insid polic station accord author local polic offic learn one bomber use hand grenad attack polic station viaduct deton explos devic 1330 viaduct run parallel polic station previous attack whose ident unknown attack us terrorist outsid polic station launch attack viaduct polic offic armi unit togeth resist foil attack said tarek polic offic afterward anoth bomber deton explos devic gate polic station third bomber enter polic station deton explos devic surround polic offic armi unit syrian regim interior minist moham shaar told report one attack manag enter polic station reach first floor build daesh said three fighter carri attack damascu polic station monday statement distribut daesh channel via telegram messag servic tuesday group said two fighter fire shot station blow third blew later reinforc arriv local state televis show imag damag insid build black polic uniform shirt cover dust lie rubbl partial collaps wall policemen carri one bodi away scene wrap insid white tarpaulin polic station midan target last decemb sevenyearold femal suicid bomber blew insid station local reaction accord wit explos occur work hour proxim polic station old citi damascu mani peopl kill nearbi car hous build destroy crime terrorist act nobodi accept act tragic see corps ground began better condit good suppli peopl lost car hous said local resid manal 28yearold teacher live midan said heard least two blast monday afternoon come back work heard sound explos around 230 pm didnt know anoth explos minut later build shook said afterward heard gunfir usual happen get peopl move way clear road ambul get retriev injur ad damascu attack damascu also rock occasion bomb blast throughout syrian conflict includ previou attack midan middleclass residenti shop district decemb 2016 three polic offic wound sevenyearold girl walk neighbourhood polic station wear explos belt remot deton rebel group gradual expel territori capit held though maintain presenc hand posit includ jobar neighbourhood also hold territori eastern ghouta region outsid capit regularli launch rocket citi 330000 peopl kill syria sinc conflict began protest met harsh regim crackdown sourc trtworld agenc,1
710,13082013 33 milit claim syria fierc fight hom aleppo syrian activist said tuesday least 33 member islam state iraq levant alnusra front organ kill syrian activist said tuesday least 33 member islam state iraq levant alnusra front organ kill ongo fierc fight sinc milit launch massiv campaign aleppo citi deir ezzor three day clash violent milit use tank possess regular forc target pocket activist told agenc franc press moreov gener militari command alqaedalink alnusra front terrorist group syria imad alahmad alhamad kill special oper carri syrian armi howayqa neighborhood deir ezzor alhamad also emir alnusra front alalam news websit said bilal talib aldagh chief socal almostafa brigad abo alzir aldiri dub lion incurs ahmad almashreq chief socal alsaeqa brigad among kill late milit attack focus howayqa neighborhood contain secur center govern build offici circl meanwhil syrian armi unit destroy weapon ammunit bunker manag opposit group number stronghold gather point deir ezzor countrysid score left kill injur armi unit engag arm terrorist group whose member tri infiltr sana neighborhood rasafa neighborhood leav dead includ sniper staterun news agenc sana report sana also said armi unit kill mani terrorist alnusra front palestinian tunisian nation seri oper carri tuesday stronghold east ghota town villag countrysid damascu alhosn castl takalakh countrysid hom syrian armi target one milit bunker kill number wound other among kill ahmad orwa alzoabi field command walid khale aljalakh walid alhosni mohammad ibin nashwan alhosni hassan ahmad steif khale mahmoud jannad ali aldorra mohammad mahmoud awwad bo jawad aldoomani issa ahmad gharib relat develop media outlet state abu jahjah tunisian terrorist kill along terrorist belong al qaeda organ ra alein alhasakah provinc nation militari also destroy mortar bulldoz use insurg set earth mound block street neighborhood barzeh damascu syrian soldier also kill number near almestah hill surround farm teshrin hospit among target milit ana alaghwani chief one arm group dozen alnusra front milit also claim althayabiya hajira town rural damascu includ palestinian sami alahmad muhammad yahya mandil syrian armi launch widescal militari oper april put end violent unrest countri syria hit unrest sinc midmarch 2011 syrian govern accus foreign actor orchestr conflict support milit opposit group arm money,0
545,20 novemb 2016 10 peopl mostli schoolchildren kill terrorist rocket attack aleppo terrorist organ launch sunday terrorist attack shell residenti neighborhood area number provinc caus human casualti 10 peopl mostli schoolchildren kill terrorist rocket attack aleppo death toll terrori attack shell residenti neighborhood aleppo citi rose 10 kill 59 other injur medic sourc aleppo health director told sana report eight student 7 12 year old kill anoth 27 student femal teacher injur sourc ad teacher leg amput earlier day sourc aleppo polic command told sana report terrorist group posit bustan alqass neighborhood fire mortar shell alfurqan school basic educ sourc ad mortar shell fell insid classroom kill seven student injur femal teacher 19 other critic condit terrorist also fire rocket shell faculti law neighborhood alsabil almogambo alfurqan almidan kill two person injur 32 other part aleppo governor hussein diab inspect alfurqan school basic educ call repair immedi governor also visit injur person terrorist attack univers hospit stress necess provid necessari medic servic wound person injur terrorist rocket attack quneitra person injur terrorist attack rocket shell hadar villag quneitra southern provinc sana report provinc said terrorist organ posit jubata alkhashab forest target rocket shell hadar villag injur young man caus huge materi damag citizen hous properti later report point jabhat alnusra terrorist target 10 rocket shell alkhadami neighborhood albaath citi caus signific materi damag build area thursday two children injur terrorist attack 13 rocket shell harfa villag quneitra countrysid child injur terrorist mortar attack alfouaa idleb girl child injur terrorist mortar attack call jaish alfateh terroristbesieg alfouaa town northern countrysid idleb phone call sana report local sourc said terrorist group posit binnish town target alfouaa mortar shell injur 6yearold girl caus materi damag citizen hous two citizen injur due terrorist mortar attack daraa two citizen got injur sunday terrorist organ affili jabhat alnusra fire mortar shell alsabil neighborhood daraa citi accord sana report report ad attack also caus materi damag public privat properti 2 person kill 13 injur terrorist rocket attack harasta suburb damascu countrysid terrorist organ posit eastern ghouta fire 20 rocket shell residenti suburb harasta damascu countrysid sourc damascu polic command told sana shell target citizen hous harasta suburb area surround claim live two person injur 13 other caus materi damag public privat properti 4 citizen kill terrorist rocket attack hom citi least four citizen kill due terrorist rocket attack alzahraa neighborhood citi hom sana report hom said number rocket shell land main squar alzahraa neighborhood kill 4 citizen injur mani other caus materi damag citizen properti english bulletin,1
426,15 august 2016 nine person kill 12 injur terrorist attack aleppo citi six civilian kill among 4 children woman eight person injur terrorist attack rocket shell alhizam alakhdar green belt area new aleppo sana report said monday earlier three person kill woman among four other got injur due terrorist attack rocket shell explos round residenti neighborhood aleppo citi sourc aleppo polic command told sana report terrorist group fire rocket shell explos round neighborhood alhamadanyiah alsheikh taha alsulaimaniah aleppo aljadida kill three person among woman injur four other among two girl sourc ad attack also caus materi damag citizen hous properti manar alfriehman,1
505,sunday 25 august 2013 kerri discuss chemic attack syrian foreign minist syrian govern grant unit nation inspector access site alleg ga attack john kerri reportedli told syrian foreign minist walid almuallem call saturday kerri call make clear claim syrian regim noth hide allow immedi unimped access site rather continu attack affect area block access destroy evid state depart quot say reuter news agenc syrian opposit group accus presid bashar alassad forc launch massiv chemic attack near damascu august 21 kill mani 1300 peopl infograph chemic weapon claim design farwa rizwan al arabiya english syrian govern strongli deni alleg yet acced demand un inspector alreadi countri allow visit site alleg attack afp news agenc report secretari emphas receiv full assur free syrian armi command would ensur safeti un investig target area offici said call secretari emphas import quickli determin fact underscor serious graviti chemic weapon use offici said us presid barack obama receiv detail review rang potenti option top advis saturday washington alli could respond alleg chemic weapon attack damascu syrian govern reuter report white hous say obama also spoke british prime minist david cameron syria agre consult potenti respons intern commun white hous said afp reuter last updat sunday 25 august 2013 ksa 1555 gmt 1255 1,1
543,20 novemb 2016 10 peopl mostli schoolchildren kill terrorist rocket attack aleppo terrorist organ launch sunday terrorist attack shell residenti neighborhood area number provinc caus human casualti 10 peopl mostli schoolchildren kill terrorist rocket attack aleppo death toll terrori attack shell residenti neighborhood aleppo citi rose 10 kill 59 other injur medic sourc aleppo health director told sana report eight student 7 12 year old kill anoth 27 student femal teacher injur sourc ad teacher leg amput earlier day sourc aleppo polic command told sana report terrorist group posit bustan alqass neighborhood fire mortar shell alfurqan school basic educ sourc ad mortar shell fell insid classroom kill seven student injur femal teacher 19 other critic condit terrorist also fire rocket shell faculti law neighborhood alsabil almogambo alfurqan almidan kill two person injur 32 other part aleppo governor hussein diab inspect alfurqan school basic educ call repair immedi governor also visit injur person terrorist attack univers hospit stress necess provid necessari medic servic wound person injur terrorist rocket attack quneitra person injur terrorist attack rocket shell hadar villag quneitra southern provinc sana report provinc said terrorist organ posit jubata alkhashab forest target rocket shell hadar villag injur young man caus huge materi damag citizen hous properti later report point jabhat alnusra terrorist target 10 rocket shell alkhadami neighborhood albaath citi caus signific materi damag build area thursday two children injur terrorist attack 13 rocket shell harfa villag quneitra countrysid child injur terrorist mortar attack alfouaa idleb girl child injur terrorist mortar attack call jaish alfateh terroristbesieg alfouaa town northern countrysid idleb phone call sana report local sourc said terrorist group posit binnish town target alfouaa mortar shell injur 6yearold girl caus materi damag citizen hous two citizen injur due terrorist mortar attack daraa two citizen got injur sunday terrorist organ affili jabhat alnusra fire mortar shell alsabil neighborhood daraa citi accord sana report report ad attack also caus materi damag public privat properti 2 person kill 13 injur terrorist rocket attack harasta suburb damascu countrysid terrorist organ posit eastern ghouta fire 20 rocket shell residenti suburb harasta damascu countrysid sourc damascu polic command told sana shell target citizen hous harasta suburb area surround claim live two person injur 13 other caus materi damag public privat properti 4 citizen kill terrorist rocket attack hom citi least four citizen kill due terrorist rocket attack alzahraa neighborhood citi hom sana report hom said number rocket shell land main squar alzahraa neighborhood kill 4 citizen injur mani other caus materi damag citizen properti english bulletin,1
566,thu aug 1 2013 40 syrian die ammo depot blast ammunit depot explos area western syrian citi hom claim live least 40 peopl left score wound report say least 40 peopl includ civilian kill dozen wound serious ammunit depot blew wadi alzahab district rocket fire ukbas opposit syrian observatori human right claim thursday group ad depot oper voluntari forc loyal syrian govern doctor live akruma area said residenti district also hit caus collaps apart block blast come syrian armi made consider advanc captur khaldiyeh district held terrorist forc past two year mrkdba,1
692,19042017updat 1041 19042017 get short url 0 73 kurdishl syrian democrat forc sdf manag advanc closer center northern syrian citi al tabqah kill 47 daesh milit daesh outlaw russia area sinc monday local media report wednesday ap photo syrian kurd set bodi govern raqqa daesh defeat moscow sputnik accord firat news agenc sdf advanc 03 mile citi alexandria neighborhood 06 mile ayid saxir neighborhood part oper wrath euphrat novemb 2016 sdf predomin consist kurdish fighter also includ member syrian arab coalit launch oper call wrath euphrat seiz control syria raqqa de facto capit al tabqah locat 27 mile east raqqa april 14 sdf announc start fourth stage campaign time aim clear rural area raqqa provinc terrorist prepar final liber territori never miss stori sign telegram channel well keep speed,1
62,15 apr 2017 attack took place thousand evacue town foua kefraya wait enter aleppo still imag show cloud black smoke rise vehicl distanc said aleppo outskirt syria april 15 2017 trt world agenc suicid car bomb hit convoy buse carri civilian two besieg syrian town kill least 100 peopl wound sever other explos took place transit point rashideen area thousand evacue regimeheld predominantli shia town foua kefraya wait saturday continu journey regimecontrol aleppo coastal provinc latakia damascu accord syrian observatori human right suicid bomber drive van supposedli carri aid suppli deton near buse observatori said warn death toll like rise given sever dozen wound blast site peopl evacu two villag kefraya foua wait near buse stall agreement opposit syrian regim armi rashideen trt world agenc 5000 peopl live crippl sieg two year left two town along 2200 evacu oppositionheld madaya zabadani friday thousand evacue madaya zabadani also stuck regimecontrol ramusa south aleppo evacu broker regim alli iran rebel backer qatar set see 30000 peopl evacu two stage deal evacu town latest string agreement tout rebel best way end fight opposit say forc sieg bombard 400000 peopl kill million displac sinc syrian conflict erupt protest syrian regim leader bashar al assad march 2011 sourc trtworld agenc,0
677,20072016get short url 0 55 us secretari defens ashton carter said usl antidaesh coalit kill key daesh minist captur one princip terrorist group chemic weapon program sputnik dmitriy vinogradov syrian airstrik kill 100 daesh fighter hama provinc washington sputnik usl antidaesh coalit kill twenti islam state isil daesh oper activ develop plan launch terrorist attack abroad us secretari defens ashton carter said wednesday weve kill 20 isil islam state extern oper activ plot attack homeland personnel carter state accord prepar remark joint ministeri meet distribut pentagon carter also note antidaesh coalit also kill key daesh minist captur one princip terrorist group chemic weapon program ap photo senior airman matthew bruch us air forc usl coalit launch 31 airstrik daesh iraq syria wherev local forc move iraq syria carter ad coalit taken daesh field command continu attack oil infrastructur islam state also known daesh arab terrorist group control territori iraq syria outlaw unit state russia plethora nation 55 relat greater eu intel share face daesh threat complic expert usback forc captur daesh syria headquart hospit manbji least 70 kosovar reportedli fight daesh iraq syria usl coalit launch 31 airstrik daesh iraq syria tag daesh ashton carter unit state commun standardsdiscuss comment via facebookcom via sputnik news,0
740,24022015 syrian armi kill 80 terrorist variou provinc unit syrian armi arm forc tuesday continu mopup oper tighten noos around foreignback terrorist sever area across countri unit syrian armi arm forc tuesday continu mopup oper tighten noos around foreignback terrorist sever area across countri idleb unit armi arm forc intensifi fire power terrorist organ den gather qar alghaz alhouteh tal salmo um jerin abu alduhour area countrysid northern idleb provinc militari sourc said tuesday mani terrorist kill vehicl destroy armi strike sourc told sana terrorist kill other left injur ammo weapon destroy armi oper maaret harma villag intern want french crimin report kill meanwhil activist circul news social media page kill bassam alayashi internationallyw crimin french nation area near arab saeed town west idleb citi hom armi unit kill 30 terrorist isil jazal countrysid palmyra mani terrorist kill other injur armi strike gather altalila area southeast palmyra addit destroy mani hideout tal mahasa tal abdo area jub aljarah area armi target terrorist den vehicl destroy along terrorist insid rasm altawil masada um alrai abu qator other armi unit elimin number terrorist attempt infiltr um sahrij villag toward twlol alhawa maksar alhissan villag addit kill terrorist burj kaey alhola northern countrysid provinc number terrorist kill other injur road algajar alrastan alwaer neighborhood hom citi armi continu oper cooper popular defens group kill mani terrorist organ member hama unit armi arm forc kill 40 terrorist destroy weapon ammo oper target terrorist hideout kafr zita hama countrysid near idleb southern countrysid armi also carri special oper target terrorist gather allatamneh hama northwestern countrysid kill number terrorist injur other addit precis concentr oper target terrorist hideout eqeirbat result death ten terrorist armi unit target terrorist hideout concentr villag alrahjan alsalamiy area leav mani terrorist dead injur destroy ammo addit elimin number terrorist villag hamadi omar road albalaa mountain palmyra anoth unit elimin number terrorist injur other destroy hideout villag alhwaiz alghab plain area yet anoth unit inflict loss upon terrorist hurr binafso provinc southern countrysid latakia armi unit destroy terrorist organ den kill mani member khan aljouz aleido alhor kansaba salma alaliyeh northern countrysid latakia provinc oper result death mani terrorist includ maher altellawi abdelsalam sido hisham zako marwan zahira ali kerkasi mahmoud ashira mohammad safu addit destroy weapon ammo number vehicl damascu countrysid armi unit focus intens barrag firepow terrorist hideout eastern part alqalamon area damascu countrysid monday kill larg number terrorist destroy cach contain larg amount ammunit weapon tuesday armi unit destroy vehicl along terrorist insid farm north harasta demolish tunnel use terrorist alintaj neighborhood harasta douma armi carri concentr oper aliya farm result death mani terrorist includ abdelfattah bwarbubia libya fayez jarboua palestin outskirt erbin terrorist mohammad almalla kill clash jobar result loss among terrorist south eastern ghouta armi unit destroy two vehicl use terrorist elimin terrorist kassem kassab qutaiba ghabash farm zebdin town almleiha area daraa unit armi arm forc tuesday kill injur number terrorist aqraba um al awsaj talantar talqarein samlin militari sourc told sana armi destroy pickup truck transfer terrorist alzemrin town southern provinc eastern part provinc unit armi destroy vehicl load terrorist algharia algharbiya terrorist kill injur town alkark alsharqi accord sourc armi unit kill wound number terrorist attman town northern part daraa citi well kill injur anoth number terrorist hideout surround katakit build om daraj karak neighborhood meanwhil terrorist organ affirm loss rank kill number includ one call group leader abu muhamad alsharhouli quneitra unit armi arm forc destroy mortar base mani vehicl leav terrorist aboard kill roundabout nabe alsakh alhamidia alsamdania algharbia boreiqa countrysid alquneitra provinc armi unit destroy convoy terrorist vehicl khazan rasm alshouleh quneitra countrysid addit destroy heavi machinegun alrawabi villag,0
765,16062016 syrian armi advanc latakia kill 16 terrorist syrian armi manag thursday put terrorist line fire kel shahroura sarraf hajjar east town rabia latakia northern countrysid syrian armi manag thursday put terrorist line fire kel shahroura sarraf hajjar east town rabia latakia northern countrysid syrian armi alli also clash terrorist jabal alturkman kill 16 syrian armi also struck isil terrorist group mostli foreign attack militari post triangl al rassaf western countrysid raqqa provinc accord sana syrian armi cooper popular defens group back syrian russian air forc began 2 june wide militari oper athriyakhanas altabqa axi result far establish control zakiadeir haffer crossroad abu alzain mountain almasbah area abu alalaaj villag power oil pump plant two oil field harbiyat anbaj villag alsafeeh triangl habari field syrian armi unit target monitor reconnaiss posit alnusra front qaeda branch levant terrorist organ east alkhud hill 7 km east daraa citi militari sourc told sana,0
790,04032016 2 syrian kill 5 injur terrorist rocket attack deir ezzor citi two syrian kill 5 other injur due terrorist rocket attack alqosour aljora residenti neighborhood deir ezzor citi two syrian kill 5 other injur due terrorist rocket attack alqosour aljora residenti neighborhood deir ezzor citi sourc provinc told sana report isil terrorist fire 6 rocket shell alqosour aljoura neighborhood deir ezzor citi claim live man woman injur 5 other caus materi damag public privat properti,0
741,23022015 twin suicid blast target checkpoint near damascu claim 4 martyr twin suicid blast target almustaqb checkpoint sayyeda zainab highway near damascu claim 4 martyr 13 injur twin suicid blast target almustaqb checkpoint sayyeda zainab highway near damascu claim 4 martyr 13 injur sana report first explos happen terrorist step car checkpoint deton blast belt second suicid bomber explod car,0
800,17082016 martyr terrorist shell aleppo salah eddin seven civilian martyr wednesday takfiri terrorist shell salah eddin neighborhood aleppo citi seven civilian martyr wednesday takfiri terrorist shell salah eddin neighborhood aleppo citi among martyr child two women sana news agenc report note nine other also injur attack wednesday shell come day eight civilian martyr similar attack takfiri insurg also salah eddin neighborhood 12 peopl injur tuesday shell attack caus materi damag local hous properti sana quot sourc aleppo polic command say,1
661,01022015 bu blast damascu central district kill least six peopl wound dozen sana call attack terrorist explos report blast bu damascu central district kill least six peopl afp report syrian observatori human right said immedi clear caus blast souq alhamadiyeh neighbourhood damascu insid lebanes shia pilgrim bu target morn suicid bomber damascu pictwittercomhtebsae1p carol malouf carolmalouf 1 2015 nusra twitter account publish pictur abou ez suicid bomber respons damascu bu bomb pictwittercomhc7leggjln carol malouf carolmalouf 1 2015 blast also report syrian state televis offici sana news agenc confirm least four peopl kill 19 wound accord inform provid observatori director rami abdel rahman bu reportedli carri lebanes shiit muslim pilgrim syria ikhbariya televis releas footag men woman hospit reuter report also show imag target bu secur servic scene alnusra front twitter feed said one group member blew insid bu market seem unverifi photo possibl bomber anoth one wreck vehicl accord reuter civil war syria rage sinc march 2011 accord un report conflict taken live 200000 peopl,0
674,19072016updat 1457 19072016 get short url 2440 100 syrian civilian kill usl coalit airstrik daesh terrorist group near citi manbij aleppo governor local sourc told sputnik tuesday damascu sputnik strike carri tuesday morn women children among victim sourc said reuter rodi said antidaesh forc get better terrorist battl manbij usl coalit 60 nation carri airstrik daesh syria iraq sinc summer 2014 manbij locat daesh de facto capit raqqa syrianturkish border strateg import area terrorist group syria mire civil war sinc 2011 govern forc loyal syrian presid bashar assad fight numer opposit faction extremist group islam state terrorist group also known daesh arab outlaw unit state russia mani nation 440 relat usl coalit destroy 22 daesh posit near syria manbij centcom syrian arab coalit move toward center manbij occupi daesh usl coalit destroy 18 daesh posit near syria manbij tag airstrik usl coalit civilian casualti syrian crisi manbij syria unit state aleppo commun standardsdiscuss comment via facebookcom via sputnik news,1
552,wednesday 21 august 2013 syrian opposit 1300 kill chemic attack ghouta region least 1300 peopl kill nerv ga attack syria ghouta region lead opposit figur georg sabra said wednesday respons opposit syrian nation coalit call urgent un secur council meet subject call secur council conven urgent nation coalit leader ahm aljarba ad alarabiya news channel condemn syrian armi bombard ghouta suburb damascu massacr meanwhil arab leagu call wednesday un chemic weapon inspector insid syria immedi visit site incid arab leagu chief nabil alarabi urg inspector statement go immedi eastern ghouta see realiti situat investig circumst crime britain said wednesday would rais report chemic weapon attack forc loyal syrian presid bashar alassad unit nation secur council call damascu give un inspector access site reuter report deepli concern report hundr peopl includ children kill airstrik chemic weapon attack rebelheld area near damascu british foreign secretari william hagu said statement franc also call action un cabinet session holland announc intent ask un visit site attack govern spokeswoman najat vallaudbelkacem told report wednesday inform obvious requir verif confirm ad activist syrian revolutionari command council said regim fighter plane fli area bombard accus forc loyal presid bashar alassad use chemic agent attack rebelheld area eastern damascu regim forc step militari oper eastern ghouta western ghouta zone damascu region aircraft rocket launcher caus sever dozen dead wound syrian observatori human right told afp news agenc intens bomb outskirt capit could heard resid damascu grey cloud cap sky britainbas observatori reli vast network activist ground medic said armi oper aim recaptur madhamiyat elsham area southwest damascu local coordin committe lcc network activist report hundr casualti brutal use toxic ga crimin regim part western ghouta accord reuter news agenc report use chemic agent could immedi verifi news coincid visit damascu unit nation team chemic weapon expert interview al arabiya syrian nation coalit chief ahmad jarba call un investig travel ghouta site massacr activist grassroot local coordin committe report least 30 bodi brought one field hospit kafr batna neighborhood mile east central damascu accord reuter meanwhil syrian observatori human right said dozen peopl kill includ children fierc bombard activist local coordin committe said mouadamiya southwest capit came heaviest attack sinc start twoyear conflict regim denial meanwhil syrian author deni charg armi use chemic weapon attack report use chemic weapon suburb ghouta total fals state news agenc sana said dismiss unfound report opposit activist said satellit news channel carri report implic shed syrian blood support terror attempt prevent un commiss inquiri carri mission statement ad reuter afp,1
367,publish octob 4 2014 least 35 isi milit kill air strike usl coalit overnight northern northeastern syria monitor said saturday syrian observatori human right said 30 milit kill around town shadadi northeastern hasakeh anoth five outsid embattl town koban border turkey northern aleppo provinc,0
385,publish octob 12 2016 activist say death toll rebelheld aleppo syria continu rise least 27 dead tuesday assad forc push weed rebel russia meanwhil face kremlin offici call russophobia british fm johnson call public protest london embassi airstrik aleppo casualti pile syria aleppo control rebel forc loyal assad regim push recaptur aid russian airstrik russia assist meanwhil continu draw ire europ latest salvo british foreign minist bori johnson call picket russian embassi london least 15 peopl kill fresh air strike artilleri fire rebelheld area syria aleppo wednesday monitor said syrian observatori human right said death toll expect rise due number wound seriou condit britainbas monitor said among area hit bombard market neighborhood fardo death come day russia step air raid east aleppo support armi oper recaptur rebelheld sector citi tuesday raid kill least 27 peopl among four children sever district includ fardo accord observatori four peopl also kill 14 wound rebel fire governmentheld west aleppo tuesday among surviv tuesday strike district fardo 13yearold jameel mustafa habbush dug rubbl fourhour oper white helmet rescu worker afp photograph scene said rescuer heard habbush shout rubbl began dig toward work free administ oxygen clamp mask face emerg debri father younger brother reportedli kill attack mother taken hospit seriou injuri syria econom powerhous aleppo ravag conflict began antigovern protest march 2011 late septemb armi announc oper recaptur rebelheld east aleppo collaps shortliv truce sinc 300 peopl kill bombard rebelheld area accord observatori british foreign minist bori johnson tuesday call antiwar campaign protest outsid russian embassi london parliamentari debat bomb aleppo syria id certainli like see demonstr outsid russian embassi johnson told mp parliament johnson former mayor london known mani public gaff said well outrag grow exhaust antiwar group express suffici outrag conflict aleppo stop war coalit moment said stop war group cofound current opposit labour parti leader jeremi corbyn protest war afghanistan iraq brought million briton street protest buildup invas iraq 2003 tuesday debat parliament sever lawmak accus russia commit war crime syria johnson respond question labour member parliament ann clwyd call protest million peopl outsid russian embassi worldwid would therefor call everyon care plight syrian civilian picket russian embassi london capit around world today said two million three million four million peopl done done past andrew mitchel former intern develop minist said british aircraft could help enforc nofli zone prevent russian bomb raid intern commun avow respons protect protect must exert member parliament prime minist theresa may govern conserv parti said mean confront russian airpow defens behalf innoc peopl ground tri protect mitchel compar russia action nazi forc spanish civil war 1930 russia wage punish aerial bomb campaign syria year support presid bashar alassad forc part multifront war claim 300000 live seen moscow estrang west russian presid vladimir putin tuesday cancel visit franc furiou row moscow role syrian conflict announc kremlin came day french presid francoi holland said syrian forc commit war crime batter citi aleppo support russian air strike moscow yesterday hit johnson accus russia commit war crime syria dismiss comment russophob hysteria russian defens ministri spokesman igor konashenkov said statement johnson accus russia mortal sin storm teacup russophob hysteria regularli fuel certain member british establish taken serious long time said konashenkov said russian air forc respons bomb un convoy aleppo region last month accus britain withhold evid say russia alleg evid say wont worth penni made avail everyon said russian foreign ministri spokeswoman maria zakharova said tuesday moscow truli asham johnson comment,1
